Date,Day,Mood,Productivity Score,Energy Level,Gym,Day Type,Reading,Sleep Hours,Games Played,Music Related,Custom Activities
2025-07-18,Friday,Good,1,Medium,[],Weekend,True,9.0,[],"['Piano', 'Practice']","['Meditation', 'Cooking', 'Hangout with Cami']"
2025-07-17,Thursday,Great,4,Low,"['Legs Day', 'Arms Day']",Office,True,6.0,[],['Listening'],['Dinner with Cami']
2025-07-16,Wednesday,Meh,3,Medium,"['Back Day', 'Cardio']",Office,True,5.3,[],"['Practice', 'Recording']","['Work in HabitLens', 'Dinner with Cami', 'Cooking']"
2025-07-15,Tuesday,Neutral,2,Medium,"['Arms Day', 'Cardio']",Classes,True,5.8,[],"['Listening', 'Vocals']","['Cooking', 'Dinner with Cami']"
2025-07-14,Monday,Good,2,Very Low,"['Cardio', 'Legs Day']",Office,False,7.2,[],"['Vocals', 'Piano']",['Work in HabitLens']
2025-07-13,Sunday,Great,3,Medium,"['Chest Day', 'Legs Day']",Weekend,True,6.3,['Clash Royale'],"['Recording', 'Composition', 'Vocals']","['Meditation', 'Cooking']"
2025-07-12,Saturday,Sad,1,High,"['Arms Day', 'Cardio']",Weekend,False,7.3,[],['Guitar'],"['Meditation', 'Work in HabitLens']"
2025-07-11,Friday,Good,4,Medium,['Legs Day'],Office,False,7.1,"['Clash Royale', 'Chess']","['Recording', 'Composition', 'Practice']",[]
2025-07-10,Thursday,Meh,5,High,['Chest Day'],Classes,False,7.4,[],"['Vocals', 'Guitar', 'Recording']",['Cooking']
2025-07-09,Wednesday,Meh,5,High,[],Classes,True,6.8,['Zelda'],[],[]
2025-07-08,Tuesday,Great,4,Low,['Cardio'],Home office,False,5.7,"[""Baldur's Gate"", 'Clash Royale']","['Listening', 'Practice', 'Recording']",[]
2025-07-07,Monday,Meh,3,High,[],Office,True,7.6,[],['Guitar'],"['Cooking', 'Meditation']"
2025-07-06,Sunday,Good,2,Medium,['Arms Day'],Weekend,True,7.2,"['Clash Royale', 'Chess']",['Vocals'],"['Work in HabitLens', 'Hangout with Cami', 'Cooking']"
2025-07-05,Saturday,Neutral,5,Low,[],Weekend,True,9.0,['Chess'],"['Practice', 'Composition', 'Bass']",[]
2025-07-04,Friday,Good,1,Very High,[],Classes,False,4.4,[],['Piano'],"['Work in HabitLens', 'Hangout with Cami']"
2025-07-03,Thursday,Meh,5,High,"['Chest Day', 'Cardio']",Weekend,False,6.9,"['Clash Royale', ""Baldur's Gate""]",['Bass'],"['Hangout with Cami', 'Cooking']"
2025-07-02,Wednesday,Meh,2,Medium,[],Home office,True,5.6,['Clash Royale'],"['Recording', 'Piano']",[]
2025-07-01,Tuesday,Meh,4,Medium,['Legs Day'],Office,False,7.9,['Chess'],"['Practice', 'Vocals']","['Meditation', 'Dinner with Cami', 'Work in HabitLens']"
2025-06-30,Monday,Good,4,High,[],Office,False,6.2,"['Zelda', 'Chess']",[],['Work in HabitLens']
2025-06-29,Sunday,Neutral,4,Medium,[],Weekend,False,9.0,"['Zelda', 'Clash Royale']","['Vocals', 'Recording', 'Composition']","['Meditation', 'Work in HabitLens']"
2025-06-28,Saturday,Great,1,High,"['Cardio', 'Chest Day']",Weekend,True,5.5,['Chess'],"['Composition', 'Guitar', 'Bass']","['Meditation', 'Cooking', 'Work in HabitLens']"
2025-06-27,Friday,Great,2,Medium,"['Back Day', 'Legs Day']",Home office,True,8.4,"[""Baldur's Gate"", 'Clash Royale']","['Guitar', 'Practice', 'Piano']",[]
2025-06-26,Thursday,Great,1,Medium,"['Back Day', 'Cardio']",Weekend,False,7.3,"['Chess', 'Clash Royale']","['Vocals', 'Practice']","['Meditation', 'Dinner with Cami']"
2025-06-25,Wednesday,Neutral,5,High,[],Office,False,6.1,['Chess'],"['Vocals', 'Recording', 'Practice']","['Hangout with Cami', 'Dinner with Cami']"
2025-06-24,Tuesday,Amazing,4,Medium,"['Arms Day', 'Cardio']",Classes,True,7.5,"['Zelda', 'Chess']",['Listening'],['Work in HabitLens']
2025-06-23,Monday,Neutral,4,Medium,[],Office,True,7.8,[],[],"['Cooking', 'Meditation']"
2025-06-22,Sunday,Great,5,High,"['Cardio', 'Arms Day']",Weekend,False,6.2,[],[],[]
2025-06-21,Saturday,Good,5,Medium,['Arms Day'],Weekend,True,7.5,[],"['Piano', 'Guitar']",[]
